Year,Operator,Location,AC Type,Passengers,Crew,Fatalities
1973,JAT Yugoslav Airlines,Moganik,Aerospatiale Caravelle 6N,35,6,41
1973,Private Charter,Natchitoches,Beechcraft E18S,5,1,6
1973,Texas International Airlines,Rich Mountain,Convair 600,8,3,11
1973,Aeronorte,Miritituba,Douglas DC-3A,5,4,9
1973,Aeroflot,Sverdlovsk,Tupolev TU-104B,100,8,108
1973,Aeroflot,Magadan,Antonov AN-12V,8,2,10
1973,Aeroflot,Domodedovo,Tupolev TU-104B,114,8,122
1973,VASP,Guanabara Bay,NAMC YS-11A-211,60,5,8
1973,Lineas Aéreas La Urraca,Villavicencio,Handley Page HPR-7 Herald 101,12,4,6
1973,Pan American World Airways,Boston,Boeing B-707-321C,0,3,3
1973,National Airlines,Albuquerque,McDonnell Douglas DC-10-10,116,12,1
1973,Air Vietnam,Quang-Ngai,Douglas DC-3,24,3,27
1973,Aeroflot,Moscow,Tupolev TU-104B,68,7,13
1973,Aeroflot,Karacharovo,Tupolev TU-124,45,6,51
1973,Pan American World Airways,Rome,Boeing B-707-321B,167,10,30
1973,Vietnamese Air Force,Siagon,Boeing Vertol CH-47,0,20,20
1973,Royal Air Maroc,Tetouan,Sud-Aviation Caravelle VI-N,99,7,106
1973,Aeroflot,Lvov,Tupolev TU-124,11,6,17
1973,Executive Funds,Durban,Douglas DC-3,22,3,1
1974,Itavia,Turin,Fokker F-28 Fellowship 1000,38,4,38
1974,Air East,Johnstown,Beechcraft 99A,15,2,12
1974,Servicios Aéreos Boliviano,Unduavi,Curtiss C-46F,1,3,4
1974,Aeroflot,Mukachevo,Antonov AN-24V,18,6,24
1974,SATENA,Nevia,Hawker Siddeley HS 748-260,28,3,31
1974,TAM,La Paz,Douglas C-54,21,3,24
1974,Cessnyca,Cigorodo,Douglas DC-3A,11,3,14
1974,Turkish Airlines,Izmir,Fokker F-28 Fellowship 1000,68,5,66
1974,Pan American World Airways,Pago Pago,Boeing B-707-321B,91,10,97
1974,Pan American World Airways,Honolulu,Boeing B-747,279,19,1
1974,West German Air Force,Souda,Transall C-160D,35,5,35
1974,Delta Air Lines,Baltimore,Mc Donnell Dougals DC-9,10,5,1
1974,SAVCO,San Francisco de Moxos,Curtiss C-46A-45-CU,4,3,7
1974,Turkish Airlines,Ermenonville,McDonnell Douglas DC-10-10,335,11,346
1974,Pathet Lao Airlines,Hanoi,Antonov An-24,15,3,18
1974,Sierra Pacific Airlines,Bishop,Convair CV-440,32,4,36
1974,Sterling Airways,Tehran,Aerospatiale Caravelle 10B3,92,4,15
1974,Wenela Air Services,Francistown,Douglas DC-4,80,4,78
1974,Pan American World Airways,Grogak,Boeing B-707-321C,96,11,107
1974,Aeroflot,Leningrad,Ilyushin IL-18B,102,7,109
1974,Houston Metro Airlines,Galveston,Beechcraft 99,10,2,6
1974,Aero Taxis Equatorianos,Banos,Douglas C-47,21,3,22
1974,Fragtflug,Nurnberg,Douglas DC-6A,0,3,3
1974,Saturn Airways,Springfield,Lockheed L-100-30 Hercules,1,2,3
1974,Aeroflot,Kiev,Yakovlev YAK-40,25,4,29
1974,Lambair,Rankin Inlet,Bristol 170 Freighter 31E,0,2,2
1974,Aerolineas TAO,Monte San Isidro,Vickers Viscount 785D,38,6,44
1974,Cambodia Air,Battambang,Boeing 307B-1 Stratoliner,33,6,19
1974,Alaska - Air Taxi,Umiat,Fairchild Hiller FH1100,4,1,5
1974,Aeronorte Colombia,Bogota,Douglas DC-4,0,3,3
1974,Air Amercia,Moc Hoa,Fairchild C-123K,1,4,5
1974,Laurentian Air Services,Mt. Apica,Douglas DC-3,8,3,5
1974,Air Mali,Ouagadougou,Ilyushin IL-18B,50,10,47
1974,AVIANCA,Cali,Douglas C-47-DL,24,3,27
1974,Linea Aeropostal Venezolana,Margarita Island,Vickers Viscount 749,45,4,49
1974,Zairean Air Force,Kisangani,Lockheed C-130H,24,7,31
1974,Garuda Indonesia Airlines,Tandjung-karang,Fokker F-27 Friendship 600,36,3,36
1974,Trans World Airlines,Kefallinia,Boeing B-707-331B,79,9,88
1974,Eastern Air Lines,Charlotte,McDonnell Douglas DC-9-31,78,4,70
1974,Air Vietnam,Phan Rang,Boeing B-727-121C,67,8,75
1974,Mabuhay Airways,Calapan,Douglas DC-3,4,4,1
1974,Alaska International Air,Old Man's Camp,Lockheed L-100 Hercules,0,4,4
1974,Hlavka Aviation - Air Taxi,Pagosa Springs,Beechcraft 95-B55,1,1,2
1974,Aeroflot,Surgut,Antonov An-2,32,6,38
1974,Orient Air System and Integrated Services,Manila,Douglas C-47A-30,5,3,1
1974,Ethiopian Airlines,Soddu,Douglas DC-3,21,3,2
1974,Lufthansa,Nairobi,Boeing B-747-130,144,13,59
1974,Alpa Servicios Aéreos,Barcelona,Cessna 500 Citation I,0,4,4
1974,Northwest Orient Airlines,Bear Mountain,Boeing B-727-251,0,3,3
1974,Trans World Airlines,Berryville,Boeing B-727-231,85,7,92
1974,Martinair Holland NV,Maskeliya,McDonnell Douglas DC-8-55F,182,9,191
1974,Aeroflot,Irkutsk,Antonov An-2,11,7,13
1974,Kodiak Airways,Old Harbors,Grumman G-21,4,1,5
1974,Vietnamese Air Force,Moc Hoa,Boeing Vertol CH-47,53,1,54
1974,Aeroflot,Bukhara,Yakovlev 40,15,4,7
1974,Aerovias Venezolanas SA,Maturin,McDonnell Douglas DC-9-14,71,6,77
1974,Edwin Ortiz,Tikal,Lockheed 18 LodeStar,21,3,24
1974,Tarom,Sibiu,Antonov AN-24RV,28,5,33
1975,Air America,Nha Trang,Fairchild C-123K,6,3,9
1975,SATENA,Doncello,Douglas DC-3,17,4,21
1975,Golden West Airlines,Whittier,de Hav Can. DHC-6 Tw Otter 100,10,4,14
1975,Malev Hungarian Airlines,Budapest,Ilyushin IL-18V,0,9,9
1975,Aeroflot,Xam Neua,Antonov AN-12,14,2,16
1975,Turkish Airlines,Istanbul,Fokker F-28 Fellowship 1000,38,4,42
1975,Linea Aérea Nacional,Santo Domingo,Douglas DC-3-313,27,3,2
1975,Horizon Properties,Houston,Douglas DC-3C,14,2,5
1975,Philippine Air Lines,Manila,Hawker Siddeley HS-748 2,29,4,33
1975,Deutsche Luftwaffe,Souda,Transall C-160,35,5,40
1975,Pacific Alaska Airlines,Fairbanks,Douglas DC-6BF,0,3,3
1975,Aerocondor,Medellin,Canadair CL-44,0,5,5
1975,VASP,Sao Paulo,Embraer 110C Bandeirante,13,2,15
1975,Air Vietnam,Pleiku,Douglas DC-4,20,6,26
1975,Argentine Air Force,Barito,Fokker F-27 Friendship 400M,50,5,55
1975,Aeroflot,Terney,Antonov An-2,10,2,7
1975,Sudan Airways,Singa,de Havilland Canada DHC-6 Twin Otter 100,4,2,5
1975,U.S. Air Force,Quilcene,Lockheed C-141A,12,4,16
1975,U.S. Air Force,Saigon,Lockheed C-5A Galaxy,314,16,155
1975,U.S. Air Force,Sakon Nakhon,Sikorsky CH-53C,19,4,23
1975,Philippine Air Lines,Manila,BAC One-Eleven 524FF,59,5,1
1975,Varig,Pedro Alfonso,Hawker Siddeley HS-748-235 Srs. 2A,11,4,1
1975,Eastern Air Lines,New York,Boeing B-727-225,116,8,113
1975,Hamilton Aviation,Toledo,Beechcraft E18S,1,1,2
1975,Aerovias Condor,Bogota,Lockheed L-188AF Electra,0,4,2
1975,Aeroflot,Batumi,Yakovlev YAK-40,35,5,40
1975,Far Eastern Air Transport,Taipei,Vickers 837 Viscount,70,5,27
1975,Alia Royal Jordanian Airlines,Immouzer,Boeing B-707-321C,181,7,188
1975,Nicaraguan Air Force,Amapala,Douglas DC-47,17,3,20
1975,Continental Airlines,Denver,Boeing B-727-224,124,7,0
1975,Aeroflot,Bagdarin,Ilyushin IL-14M,6,5,11
1975,Aeroflot,Krasnovodsk,Yakovlev YAK-40,34,4,23
1975,Ceskoslovenske Aerolinie,Damascus,Ilyushin IL-62,117,11,126
1975,Wien Air Alaska,Gambell,Fairchild F-27B,28,4,10
1975,Interflug,Leipzig-Halle,Tupolev TU-134,28,6,27
1975,Ethiopian Airlines,Bahar Dar,Douglas C-47-DL,6,3,1
1975,Garuda Indonesia Airlines,Palembang,Fokker F-28 Fellowship 1000,57,4,25
1975,AVIANCA,Barranquilla,Boeing 727-24C,0,4,4
1975,Malev Hungarian Airlines,Beirut,Tupolev TU-154B,50,10,60
1975,Aeroflot,Novgorod,Yakovlev Yak-40,2,4,6
1975,Connair,Queensland,de Havilland DH114 Heron 2E,8,3,11
1975,TAM,Tomonoco,Convair CV-440-12,63,4,67
1975,Inex Adria Aviopromet,Prague,McDonnell Douglas DC-9-32,115,5,75
1975,Petroleum,Gulf of Mexico,Bell 212,8,1,9
1975,Aeroflot,Sukhumi,Antonov AN-24,33,5,38
1975,Aviateca,Caoba,Douglas DC-3,18,4,15
1975,Aeroflot,Kharkov,Antonov AN-24,46,4,19
1975,Balkan Bulgarian Airlines,Sofia,Antonov AN-24B,45,3,3
1975,Israel Air Force,Bir Lahfan,Lockheed C-130 Hercules,11,9,20
1975,Private,Hertfordshire,Piper PA-23-250 Aztec,5,1,6
1975,Star Aviation,Rollinsville,Mitsubishi MU-2B,8,1,9
1976,Middle East Airlines,Al Qaysumah,Boeing B-720B-023B,67,15,82
